SMILES,MW,HBA,HBD,LogP,lipinski_valid,Error,chemval,chem_violation
OC1C(C1)OOC,104.047344116,3,1,-0.3024,True,False,True,
CC1C(O1)COO,104.047344116,3,1,0.2632999999999999,True,False,True,
OC1C(C1)COO,104.047344116,3,2,-0.14320000000000005,True,False,True,
CC1C(C1)OOO,104.047344116,3,1,0.8160000000000001,True,False,True,
OC(O)C1OCC1,104.04734411599999,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
CC(O)C1OCO1,104.047344116,3,1,-0.3024,True,False,False,Geminal diol/triol
OC(O)C1COC1,104.047344116,3,2,-1.0565000000000002,True,False,False,Geminal diol/triol
CC(O)C1OOC1,104.047344116,3,1,-0.3024,True,False,True,
CC(C)C1OOO1,104.047344116,3,0,0.8619,True,False,False,Geminal diol/triol
OC1C(O1)C(O)C,104.047344116,3,2,-0.9156000000000004,True,False,False,Geminal diol/triol
CC1C(O1)C(O)O,104.047344116,3,2,-0.9156000000000002,True,False,False,Geminal diol/triol
